title,url,has_R,has_tidy,has_shiny,has_python,has_rstudio,has_fee
Statistical Data Protection Needs Statisticians,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=327016,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Causes of Effects and Effects of Causes: A Study of Shaken Baby Syndrome,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=333149,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Framing Reproducibility Issues in Computationally- and Data-Enabled Research?,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=326955,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Transparency, Reproducibility, and Replicability",http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=326864,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Enhancement of Transparency, Reproducibility, and Replicability in the Integration of Multiple Data Sources",http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=326704,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Seeing the Big Picture in, and Having More Influence on, the Statistics Profession from Your Vantage Point",http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=326614,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Leading Toward Evidence-Based Educational Improvement Using the CBMS Survey,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=326732,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Stats on Stats: Statistical Sciences in the Annual Survey of the Mathematical Sciences,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=326801,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Semiparametric Regression Analysis of Multiple Right- and Interval-Censored Events,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=325456,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Quantile-Optimal Treatment Regimes,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=326569,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Semiparametric Theory for Causal Inference with Negative Controls,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=326984,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
A Profile Likelihood Approach to Semiparametric Estimation with Nonignorable Nonresponse,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=326676,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Optimal Pseudolikelihood Estimation in Multivariate Missing Data with Nonignorable Nonresponse,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=326484,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
A Bayesian Nonparametric Approach for Causal Inference with Semi-Competing Risks,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=325454,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Regularization and Aliasing in the Estimation of Treatment Effect Moderation,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=326590,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Bayesian Population Finding Using Counterfactual Modeling of Responses,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=326860,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Causal Inference for Outcomes Partially Identified by Longitudinal Laboratory Measures from EHRs,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=326829,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Bayesian Longitudinal Causal Inference in the Analysis of the Public Health Impact of Air Pollution,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=326657,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Model Calibration of a Protein-Signaling Network,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=326862,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
High-Dimensional MCMC Diagnostics with Application to Spatial Text Clustering of Beer Flavours,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=326938,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Bayesian Inference for Phylogenetic Trees and Networks,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=326770,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
A Bayesian Nonparametric Model for Community Discovery on the Bitcoin Transaction Network,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=333130,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Teaching Students to Think About Data Representation,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=326573,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
An Interdisciplinary Approach to Data Science Education,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=326679,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Scaling a Data Science Curriculum to the Masses: Success and Failures in the Undergraduate Classroom,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=326930,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Data Science: a Recent Graduate's 'Reverse Engineered' Perspective,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=326944,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
State-Space Modeling Applications in Fisheries Science and Management,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=326823,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Non-Standard Model Building and Model Validation Examplified by Fish Stock Assessment,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=327030,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Statistical Modeling of Animal Movement,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=326653,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Spatially Informed Variable Selection Priors and Application to Neuroimaging Data,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=325458,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Analysis and Visualization for Large-Scale Scientific Simulations,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=326688,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Nonparametric Empirical Bayes Methods for High Dimension Problems ,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=326902,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Data-Driven Regularization and Priors in GWAS and Mediation Analysis ,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=326925,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Retrospective Study Designs for Longitudinal Data Obtained from a Biobank-Linked Electronic Medical Record,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=326576,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Efficiently Controlling for Unbalanced Case-Control Ratios and Sample Relatedness for Binary Traits in PheWAS by Large Cohorts,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=326603,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Scalable Methods for Association Analysis in Biobank Scale Data Sets,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=326871,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Enabling Phenotypic Big Data with PheNorm,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=325464,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Simultaneous Genetic Analysis of Sequence Data from a Pair of Organisms That Jointly Influence a Phenotype,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=326577,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Genetic Analysis of High-Dimensional Phenotypes,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=326659,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Rare Variant Prioritization Using Structure-Supervised Locus-Specific Tests,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=326579,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Unified Sequence Based Association Tests Allowing for Multiple Functional Annotation Scores, and Applications to Meta-Analysis of Noncoding Variation in Metabochip Data",http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=330978,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Statistical Modeling of Brain Networks Using Multimodal Neuroimaging ,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=326857,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Template ICA: Estimating Resting-State Networks from fMRI in Individual Subjects Using Empirical Population Priors,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=326511,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Spectral Causality in Multivariate Signals: Beyond Linearity,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=326830,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Intermodal Coupling Analytics for Function-Function and Function-Structure Mapping,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=326846,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Statistical Inference for Complex Extreme Events,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=331001,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Big Data Detectives: Improving Human Health Through Informing Policy,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=325457,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
MIDD: Perspectives and Possibilities,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=330277,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Dosing Designs for Bayesian Emax Models,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=329545,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Dose Selection Using Nonlinear Mixed-Effect Model Averaging Approaches in Conjunction with Adaptive Optimal Design Techniques,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=330711,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Time-Dependent Covariates in Recurrent Event Models,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=327234,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Optimal Timing of Stem Cell Transplant for Leukemia Patients,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=327264,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Joint Modeling of Multiple Time-To-Event Outcomes,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=328777,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Optimal Multiple Confidence Regions,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=329443,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Semiparametric Regression Methods for Temporal Processes Subject to Multiple Sources of Censoring,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=330539,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Data Scraping, Parsing, Wrangling, and Cleaning",http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=329181,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Bridging the Gap on Multi-Channel Attribution,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=328803,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
How to Avoid Some Common Graphical Mistakes,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=329174,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Statistical Presentation Power: How to Reveal Your 'X Factor'!!! ,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=330336,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Using Historical Controls in CNS Clinical Trials,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=329294,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Designing Trials Using Bayesian Methods with Historical Controls,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=329683,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Advancing Methodologies for Clinical Trials Using Historical Control,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=329758,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Use of Real-World in Clinical Drug Development,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=330833,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Cluster-Temporal Models for Disease Surveillance with an Application to Dengue Fever Infection in Taiwan,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=328439,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Space and Space-Time Cluster Detection Using the LASSO in Disease Mapping,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=327295,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Interacting Cluster Point Process Model for Epidermal Nerve Fibers,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=328585,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Spatially Varying Coefficient Models for Point Pattern Analysis with Large Data Sets,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=328321,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Semiparametric Regression Methods for Spatial and Spatio-Temporal Data with Application to Fine Particulate Matter (PM2.5) Studies,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=328918,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Bridge the Gap Between Statistician and Data Analysis Professionals,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=327238,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Boost Your Analytical Power by Utilizing Text Data,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=328767,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Statistics at Consumer Reports,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=329035,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Developing a Data Science Program; Challenges and Outcomes,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=330305,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
High-dimensional Cost-constrained Regression via Non-convex Optimization,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=329592,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Generalized Bias and Variance for Convex Regularized Estimators,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=330403,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
High-Dimensional Gaussian Graphical Model for Network-Linked Data,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=329616,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Toward a Sampling Theory for Statistical Network Analysis,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=329945,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Network Regression and Inference,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=330170,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Methods for Estimating Trend in Indicators Monitored with Complex Survey Designs,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=328360,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Modeling Abundance of Multiple Species Using Latent Regression Tree Algorithms ,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=328479,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
A Multiseason Site Occupancy Model for Use When Sites Are Not Revisited Among Seasons,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=327250,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Examining the Trade-Off Between Computational Gains and Reduced Flexibility When Marginalizing Discrete Latent States in Bayesian Population Models,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=328374,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Exploiting the Latent Beta Distribution for Modeling Plant Abundance,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=327292,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Optimal AK Composite Estimators in Current Population Survey,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=329354,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Understanding Variance Estimator Bias in Stratified Two-Stage Sampling,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=329351,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Computing Replicated Variance for Stratified Systematic Sampling,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=329353,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Current Population Survey State GVFs and Design Effects,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=328364,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Statistical Literacy for the Practicing Health Scientist,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=329341,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Knowledge Assessment of Statistics Educators in the Health Sciences,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=329932,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Graphical and Quantitative Literacy: Empowerment Begins with Naming and Describing What We Do,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=330272,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Increasing Statistical Literacy by Thinking Like a Journalist (And Maybe Even Working with One),http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=330859,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Regression Calibration to Address Error Prone Time-To-Event Outcomes,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=329561,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
A Gaussian Copula Approach for Dynamic Prediction of Survival with a Longitudinally Measured Marker,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=329286,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Adjusting for Covariate Measurement Error in Failure Time Analysis Under Competing Risks,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=329574,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Imputation of Missing EHR Data for Modeling Correlated Survival Outcomes ,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=329588,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Dependence Modeling for Recurrent Event Times Subject to Right-Censoring with D-Vine Copulas,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=327143,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Flexible and Interpretable Models for Survival Data,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=329042,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Estimation in the Nested Case-Control Design Under Model Misspecification,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=330800,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Cox Regression with Non-Ignorable Survival Dependent Missing Covariate Values,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=328342,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Temporally Dependent Accelerated Failure Time Model for Capturing the Impact of Events That Alter Survival in Disease Mapping,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=328493,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
An Innovative Approach to Identify Biomarker Signatures for Cancer Genetic Data with Survival Endpoints,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=328551,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Survival Analysis Methods for Characterizing B-Cell Mutation Processes,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=328783,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Competing Risks Matter in the Analysis of Public Health Data: When and How?,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=328947,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Multivariate Spatial Modeling of Interval-Censored Time-To-Event Data and Clinic Visit Counts,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=328955,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
 Inference for Fine-Gray Competing Risks Model with High-Dimensional Covariates,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=327077,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Semiparametric Regression Analysis of Length-Biased Interval-Censored Data,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=330784,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Sample Size Calculations for Non-Inferiority Trials Using the Concept of Proportional Time ,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=330818,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
On the Effect of Underlying Dependence Mechanism Over Time-Varying Models for Recurrent Time-To-Event Data,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=329951,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
